,start,end,duration,timedelta,seconds
58,2024-01-02 14:07:10+00:00,2024-01-02 14:07:39+00:00,29.0,0 days 02:02:21,7341.0
59,2024-01-02 14:08:10+00:00,2024-01-02 14:08:39+00:00,29.0,0 days 02:03:21,7401.0
60,2024-01-02 14:09:11+00:00,2024-01-02 14:09:34+00:00,23.0,0 days 02:04:22,7462.0
61,2024-01-02 14:33:46+00:00,2024-01-02 14:33:51+00:00,5.0,0 days 02:28:57,8937.0
62,2024-01-02 14:34:31+00:00,2024-01-02 14:34:51+00:00,20.0,0 days 02:29:42,8982.0
63,2024-01-02 14:35:32+00:00,2024-01-02 14:35:52+00:00,20.0,0 days 02:30:43,9043.0
64,2024-01-02 14:36:33+00:00,2024-01-02 14:36:52+00:00,19.0,0 days 02:31:44,9104.0
65,2024-01-02 14:37:34+00:00,2024-01-02 14:37:52+00:00,18.0,0 days 02:32:45,9165.0
66,2024-01-02 14:40:28+00:00,2024-01-02 14:40:56+00:00,28.0,0 days 02:35:39,9339.0
67,2024-01-02 14:41:28+00:00,2024-01-02 14:41:56+00:00,28.0,0 days 02:36:39,9399.0
68,2024-01-02 14:42:28+00:00,2024-01-02 14:42:56+00:00,28.0,0 days 02:37:39,9459.0
69,2024-01-02 14:43:26+00:00,2024-01-02 14:43:56+00:00,30.0,0 days 02:38:37,9517.0
70,2024-01-02 14:44:18+00:00,2024-01-02 14:44:56+00:00,38.0,0 days 02:39:29,9569.0
71,2024-01-02 14:45:18+00:00,2024-01-02 14:45:56+00:00,38.0,0 days 02:40:29,9629.0
72,2024-01-02 14:46:18+00:00,2024-01-02 14:46:47+00:00,29.0,0 days 02:41:29,9689.0
73,2024-01-02 14:47:19+00:00,2024-01-02 14:47:47+00:00,28.0,0 days 02:42:30,9750.0
74,2024-01-02 14:48:19+00:00,2024-01-02 14:48:48+00:00,29.0,0 days 02:43:30,9810.0
75,2024-01-02 14:49:19+00:00,2024-01-02 14:49:48+00:00,29.0,0 days 02:44:30,9870.0
76,2024-01-02 14:50:19+00:00,2024-01-02 14:50:48+00:00,29.0,0 days 02:45:30,9930.0
77,2024-01-02 14:51:19+00:00,2024-01-02 14:51:48+00:00,29.0,0 days 02:46:30,9990.0
78,2024-01-02 15:15:35+00:00,2024-01-02 15:16:03+00:00,28.0,0 days 03:10:46,11446.0
79,2024-01-02 15:16:36+00:00,2024-01-02 15:17:03+00:00,27.0,0 days 03:11:47,11507.0
80,2024-01-02 15:17:36+00:00,2024-01-02 15:18:03+00:00,27.0,0 days 03:12:47,11567.0
81,2024-01-02 15:18:37+00:00,2024-01-02 15:19:04+00:00,27.0,0 days 03:13:48,11628.0
82,2024-01-02 15:19:38+00:00,2024-01-02 15:20:04+00:00,26.0,0 days 03:14:49,11689.0
83,2024-01-02 15:20:38+00:00,2024-01-02 15:21:04+00:00,26.0,0 days 03:15:49,11749.0
84,2024-01-02 15:21:39+00:00,2024-01-02 15:22:05+00:00,26.0,0 days 03:16:50,11810.0
85,2024-01-02 15:22:40+00:00,2024-01-02 15:23:05+00:00,25.0,0 days 03:17:51,11871.0
86,2024-01-02 15:23:40+00:00,2024-01-02 15:23:52+00:00,12.0,0 days 03:18:51,11931.0
87,2024-01-02 15:25:23+00:00,2024-01-02 15:25:51+00:00,28.0,0 days 03:20:34,12034.0
88,2024-01-02 15:26:23+00:00,2024-01-02 15:26:52+00:00,29.0,0 days 03:21:34,12094.0
89,2024-01-02 15:27:24+00:00,2024-01-02 15:27:52+00:00,28.0,0 days 03:22:35,12155.0
90,2024-01-02 15:28:25+00:00,2024-01-02 15:28:52+00:00,27.0,0 days 03:23:36,12216.0
91,2024-01-02 15:29:25+00:00,2024-01-02 15:29:53+00:00,28.0,0 days 03:24:36,12276.0
92,2024-01-02 15:30:26+00:00,2024-01-02 15:30:53+00:00,27.0,0 days 03:25:37,12337.0
93,2024-01-02 15:31:27+00:00,2024-01-02 15:31:54+00:00,27.0,0 days 03:26:38,12398.0
94,2024-01-02 15:32:18+00:00,2024-01-02 15:32:47+00:00,29.0,0 days 03:27:29,12449.0
95,2024-01-02 15:33:19+00:00,2024-01-02 15:33:47+00:00,28.0,0 days 03:28:30,12510.0
96,2024-01-02 15:34:19+00:00,2024-01-02 15:34:48+00:00,29.0,0 days 03:29:30,12570.0
97,2024-01-02 15:35:20+00:00,2024-01-02 15:35:49+00:00,29.0,0 days 03:30:31,12631.0
98,2024-01-02 15:36:20+00:00,2024-01-02 15:36:49+00:00,29.0,0 days 03:31:31,12691.0
99,2024-01-02 15:37:21+00:00,2024-01-02 15:37:50+00:00,29.0,0 days 03:32:32,12752.0
100,2024-01-02 15:46:06+00:00,2024-01-02 15:46:26+00:00,20.0,0 days 03:41:17,13277.0
101,2024-01-02 15:47:07+00:00,2024-01-02 15:47:27+00:00,20.0,0 days 03:42:18,13338.0
102,2024-01-02 15:48:07+00:00,2024-01-02 15:48:28+00:00,21.0,0 days 03:43:18,13398.0
103,2024-01-02 15:49:07+00:00,2024-01-02 15:49:29+00:00,22.0,0 days 03:44:18,13458.0
104,2024-01-02 15:50:07+00:00,2024-01-02 15:50:30+00:00,23.0,0 days 03:45:18,13518.0
105,2024-01-02 15:51:08+00:00,2024-01-02 15:51:24+00:00,16.0,0 days 03:46:19,13579.0
106,2024-01-02 16:05:37+00:00,2024-01-02 16:05:58+00:00,21.0,0 days 04:00:48,14448.0
107,2024-01-02 16:06:34+00:00,2024-01-02 16:06:58+00:00,24.0,0 days 04:01:45,14505.0
108,2024-01-02 16:07:35+00:00,2024-01-02 16:07:58+00:00,23.0,0 days 04:02:46,14566.0
109,2024-01-02 16:08:35+00:00,2024-01-02 16:08:58+00:00,23.0,0 days 04:03:46,14626.0
110,2024-01-02 16:09:36+00:00,2024-01-02 16:09:58+00:00,22.0,0 days 04:04:47,14687.0
111,2024-01-02 16:10:36+00:00,2024-01-02 16:10:58+00:00,22.0,0 days 04:05:47,14747.0
112,2024-01-02 16:11:37+00:00,2024-01-02 16:11:55+00:00,18.0,0 days 04:06:48,14808.0
113,2024-01-02 16:25:24+00:00,2024-01-02 16:25:36+00:00,12.0,0 days 04:20:35,15635.0
114,2024-01-02 16:26:08+00:00,2024-01-02 16:26:36+00:00,28.0,0 days 04:21:19,15679.0
115,2024-01-02 16:27:08+00:00,2024-01-02 16:27:37+00:00,29.0,0 days 04:22:19,15739.0
